date,open,high,low,close,volume,sma_20,sma_50,rsi
2025-05-19,173.3,173.94,159.44,166.86,4076352.744,162.1805,,62.903639159405444
2025-05-20,166.87,173.11,164.51,168.59,3135420.426,163.233,,63.63522170581586
2025-05-21,168.59,175.99,165.51,173.53,4400610.4,164.36700000000002,145.2048,65.58078706455832
2025-05-22,173.54,180.87,172.59,179.68,3608222.862,165.94850000000002,146.45,60.407549234135665
2025-05-23,179.68,187.71,173.23,174.01,6112910.776,167.3135,147.5868,50.87271179225201
2025-05-24,174.0,178.33,172.5,175.87,2317965.021,168.9095,148.6484,48.49747099077656
2025-05-25,175.87,176.88,169.14,175.74,2530363.859,170.3605,149.7568,52.03511572226657
2025-05-26,175.75,179.02,173.48,174.91,2214724.796,171.762,151.1368,50.55244195356285
2025-05-27,174.92,179.41,171.24,176.71,2568509.368,173.23149999999998,152.53119999999998,43.56725146198832
2025-05-28,176.72,177.45,168.92,172.21,2534660.877,173.619,153.8674,45.74937631932453
2025-05-29,172.22,175.34,165.96,166.71,2641789.968,173.3155,154.82059999999998,47.55635348094955
2025-05-30,166.71,167.51,155.22,156.2,3770279.512,172.23100000000002,155.6884,40.4891304347826
2025-05-31,156.2,158.01,152.14,156.45,2352257.752,171.394,156.3892,41.77215189873418
2025-06-01,156.45,157.92,150.59,157.68,2042131.041,170.56699999999998,156.898,34.846720993403196
2025-06-02,157.68,158.93,151.67,156.83,2502052.191,169.221,157.46699999999998,39.08596300326443
2025-06-03,156.83,163.64,154.14,155.19,2849585.145,168.14849999999998,157.98239999999998,35.3903183602268
2025-06-04,155.19,157.97,152.94,153.26,1990646.424,167.3535,158.5254,26.34772462077018
2025-06-05,153.27,154.61,141.53,144.29,4258041.075,166.198,158.78459999999998,11.254652945040576
2025-06-06,144.28,152.39,144.11,147.83,2167791.114,165.2925,159.0446,19.935691318328068
2025-06-07,147.82,152.84,146.84,150.06,1408204.615,164.1305,159.365,20.610339330448696
2025-06-08,150.07,155.3,147.88,152.45,1564000.366,163.41000000000003,159.6166,24.777994368637664
2025-06-09,152.45,161.73,149.58,161.16,3079728.265,163.0385,160.08259999999999,37.28029602220168
2025-06-10,161.16,165.67,156.32,165.12,3589559.163,162.618,160.65380000000002,39.690446539761616
2025-06-11,165.12,168.36,159.21,160.97,4019424.999,161.6825,160.8974,39.93913354815611
2025-06-12,160.98,161.28,152.02,152.32,2883476.685,160.598,160.9218,37.807151330283006
2025-06-13,152.32,152.59,140.21,148.6,5339782.783,159.23449999999997,160.84279999999998,42.72309459977022
2025-06-14,148.6,148.7,141.97,144.64,1679994.751,157.67950000000002,160.7192,39.44215984266047
2025-06-15,144.65,153.54,144.22,152.97,2831999.616,156.5825,160.7944,46.26368396001904
2025-06-16,152.97,158.8,150.3,150.72,3573196.785,155.28300000000002,160.8492,45.25841999068756
2025-06-17,150.73,154.33,145.61,147.57,3395648.859,154.051,160.84380000000002,44.22202001819836
2025-06-18,147.58,149.28,143.65,146.34,2800908.98,153.0325,160.84439999999998,44.696505211526684
2025-06-19,146.35,147.9,142.92,147.04,2285335.729,152.5745,160.8344,52.41355099175005
2025-06-20,147.04,148.81,135.69,140.11,3393327.209,151.7575,160.61960000000002,43.60503644797879
2025-06-21,140.11,142.6,130.9,135.43,2826424.143,150.645,160.36720000000003,38.353765323993
2025-06-22,135.43,137.62,126.0,131.71,4252120.023,149.38899999999998,160.0672,33.83224197068914
2025-06-23,131.71,146.92,130.68,144.51,4573147.667,148.85500000000002,160.0784,37.79862230690312
2025-06-24,144.51,146.77,142.31,145.92,2741809.086,148.488,160.0624,35.38367844092568
2025-06-25,145.93,147.95,142.25,143.57,2233601.909,148.452,159.9962,36.38071383844707
2025-06-26,143.57,148.0,138.62,139.06,2522507.942,148.0135,159.83100000000002,38.901908269166384
