date,open,high,low,close,volume,sma_20,sma_50,rsi
2025-06-09,105734.01,110530.17,105318.37,110263.02,19975.37451,106733.3705,101933.1936,52.02744416652348
2025-06-10,110263.02,110400.0,108331.03,110274.39,17071.82839,106764.89050000001,102388.3568,53.350564838301686
2025-06-11,110274.39,110392.01,108064.0,108645.12,13115.91638,106612.33600000001,102692.39940000001,52.11467146097358
2025-06-12,108645.13,108813.55,105671.72,105671.73,17778.67218,106530.00749999999,102932.0124,50.193399595932135
2025-06-13,105671.74,106179.53,102664.31,106066.59,26180.81734,106445.2415,103173.73479999999,55.206666983570216
2025-06-14,106066.59,106252.0,104300.0,105414.64,8798.93969,106265.764,103389.254,52.05375775064151
2025-06-15,105414.63,106128.57,104494.53,105594.01,7164.20047,106073.725,103608.5742,49.872331008219675
2025-06-16,105594.02,108952.38,104980.37,106794.53,14922.6654,105966.54299999999,103869.47880000001,52.3245689368449
2025-06-17,106794.53,107771.34,103371.02,104551.17,17866.33025,105805.0125,104060.27860000002,48.11536593471203
2025-06-18,104551.17,105550.27,103500.0,104886.78,13968.64167,105769.86399999999,104272.87779999999,50.44039992171492
2025-06-19,104886.79,105226.17,103929.27,104658.59,7678.60737,105803.51950000001,104482.60960000001,58.46648493218286
2025-06-20,104658.59,106524.65,102345.0,103297.99,16419.06283,105738.825,104618.77119999999,47.11794807330705
2025-06-21,103297.98,103982.64,100837.9,102120.01,11154.21332,105562.679,104723.42860000001,39.96294160378165
2025-06-22,102120.02,103399.62,98200.0,100963.87,28746.41072,105317.973,104825.5776,36.80215896407794
2025-06-23,100963.87,106074.2,99613.33,105333.93,27666.50609,105315.825,105046.7038,36.2413308568739
2025-06-24,105333.94,106290.0,104622.02,106083.0,14651.69335,105385.13199999998,105273.6902,38.763252418048545
2025-06-25,106083.0,108135.3,105808.03,107340.58,16701.15551,105676.727,105483.8214,46.43152569003891
2025-06-26,107340.59,108272.45,106562.5,106947.06,10573.27279,105809.65800000001,105682.1526,54.06186838365456
2025-06-27,106947.06,107735.34,106356.76,107047.59,12232.44042,105884.43000000001,105757.87240000001,53.18413864018779
2025-06-28,107047.58,107577.75,106811.51,107296.79,3282.17352,105962.56949999998,105844.36839999999,56.27310983466572
2025-06-29,107296.79,108528.5,107172.52,108356.93,6831.7364,105867.26499999998,105915.31640000001,58.69800094443569
2025-06-30,108356.93,108789.99,106733.33,107146.5,9754.12491,105710.8705,105975.8864,51.10735250349067
2025-07-01,107146.51,107540.0,105250.85,105681.14,10505.62437,105562.67149999998,106033.6828,53.73805527308046
2025-07-02,105681.13,109730.0,105100.19,108849.6,17691.89592,105721.56499999999,106128.6004,61.040181063850426
