date,open,high,low,close,volume,sma_20,sma_50,rsi
2025-05-21,2524.19,2615.95,2452.2,2550.99,1095890.2902,2301.5009999999997,1931.2476000000001,77.76160172900282
2025-05-22,2551.0,2692.99,2544.83,2664.82,852555.6669,2342.632,1948.6396,71.78009922769996
2025-05-23,2664.83,2734.23,2498.3,2526.5,971442.4532,2377.281,1962.825,58.63453815261043
2025-05-24,2526.49,2575.85,2515.08,2530.4,257544.2344,2413.3579999999997,1977.0955999999999,46.764810346728076
2025-05-25,2530.41,2554.26,2463.0,2551.22,359890.0299,2449.9095,1991.9997999999998,52.38404995771806
2025-05-26,2551.22,2599.0,2525.86,2563.7,362971.1182,2487.2445,2011.6586000000002,54.4768578664882
2025-05-27,2563.7,2712.36,2509.46,2660.81,798430.8862,2529.7295000000004,2033.8139999999999,48.59979256186101
2025-05-28,2660.81,2689.14,2608.5,2681.6,560095.6833,2553.44,2057.9778,55.7421850028767
2025-05-29,2681.61,2788.0,2619.05,2631.39,811567.2545,2567.7575,2077.2153999999996,56.72488940931562
2025-05-30,2631.39,2649.23,2507.35,2531.34,763045.2564,2565.1629999999996,2097.3972,49.5891151046406
2025-05-31,2531.35,2550.34,2475.33,2528.06,394537.2521,2565.8375,2116.6214,54.10952528699969
2025-06-01,2528.06,2547.79,2468.56,2539.21,332021.7088,2568.0245,2134.522,53.27225337651053
2025-06-02,2539.2,2615.0,2475.0,2607.41,468889.9737,2564.4094999999998,2154.715,55.907823935369436
2025-06-03,2607.42,2655.38,2575.0,2593.36,454383.0439,2563.5905,2174.1068,55.078635515940036
2025-06-04,2593.35,2679.88,2583.5,2607.68,502494.8214,2566.54,2194.4848,54.24002632720528
2025-06-05,2607.68,2640.86,2391.66,2414.01,808938.0344,2560.3845,2211.2222,33.24246676020576
2025-06-06,2414.02,2531.36,2381.49,2476.1,578843.4974,2560.4355,2229.0718,46.25066952329939
2025-06-07,2476.1,2544.36,2457.0,2524.63,264787.6743,2561.778,2247.7924,49.59748866410882
2025-06-08,2524.64,2548.63,2490.58,2509.83,266474.7139,2560.8625,2265.7236,47.088205084912694
2025-06-09,2509.84,2693.99,2477.73,2680.13,568726.3025,2568.6595,2287.5789999999997,56.7025502273905
2025-06-10,2680.13,2827.0,2655.61,2816.4,1138405.4775,2581.93,2312.3156,58.57046854171488
2025-06-11,2816.41,2879.22,2743.75,2771.61,850210.9324,2587.2695,2332.6225999999997,54.8303656717219
2025-06-12,2771.6,2784.83,2616.24,2642.65,699593.3757,2593.077,2349.5742,50.557171981077936
2025-06-13,2642.66,2645.45,2436.98,2579.19,1202176.2972,2595.5165,2365.765,52.456693398502864
2025-06-14,2579.19,2579.43,2488.72,2530.76,331438.9278,2594.4935,2380.6882,50.1324802260996
